,generate,write,read,copy,rename,delete,delete2,mkdir,small_write,copy_dir,rm_rec,rm_rec2
Ubuntu/Ubuntu,0.03125,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,1.234375,1.921875,2.09375,2.125
Ubuntu/Windows,0.015625,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,1.25,,0.5625,0.671875
Ubuntu_WSL2_test/Ubuntu_WSL2_test,0.011214000000000002,0.00038199999999999346,0.00024299999999999322,0.0005040000000000044,3.200000000000425e-05,0.00010099999999998999,8.400000000000074e-05,0.00012100000000000999,0.088751,0.177766,0.03463000000000005,0.025892000000000026
Ubuntu_WSL2_test/Windows,0.005173999999999956,0.003797999999999968,0.0043039999999999745,0.010537999999999992,0.0007940000000000169,0.00045000000000000595,0.0005199999999999649,0.00043799999999999395,1.123894,8.297774,0.4962490000000006,0.5091020000000004
Windows/Ubuntu,0.03726909999999961,0.021165800000000345,0.042430400000000645,0.09825629999999919,0.01481129999999986,0.03278990000000093,0.02822459999999971,0.006053899999999501,13.483757100000002,70.8832242,26.65776360000001,26.215211299999993
Windows/Ubuntu_WSL2_test,0.028192099999984066,0.016908300000011423,0.026800500000007332,0.09040600000000154,0.012323899999984178,0.026685900000018137,0.026890999999977794,0.006880899999998746,9.43149009999999,58.149657700000006,22.30290599999998,26.233707399999986
Windows/Windows,0.034531000000000006,0.0028378000000000014,0.009702100000000019,0.00448510000000002,0.0023299999999999987,0.0019831999999999628,0.0008332000000000339,0.0006536000000000319,2.4323764,6.0611573000000005,0.5573346000000008,0.5676377000000006
