,generate,mkdir,small_write,copy_dir,rm_rec,rm_rec2
Ubuntu/Ubuntu,0.171875,0.0,5.453125,8.25,8.9375,7.765625
Ubuntu/Windows,0.140625,0.0,5.203125,,2.203125,2.3125
Ubuntu_WSL2_test/Ubuntu_WSL2_test,0.132518,9.000000000000674e-05,0.209036,0.591324,0.12243399999999993,0.12031700000000001
Ubuntu_WSL2_test/Windows,0.13741700000000012,0.0007019999999999804,4.868005,35.537488,2.159188999999998,2.1633099999999956
Windows/Ubuntu,0.21069940000000287,0.005057499999999493,67.8754672,280.5607538,146.1822737,117.32057380000003
Windows/Ubuntu_WSL2_test,0.14937220000001616,0.005765399999972942,43.97967010000002,267.62052530000005,116.42558550000001,118.19338790000006
Windows/Windows,0.1933976,0.0005777999999999617,10.883224199999999,29.112725499999996,3.2115633999999957,3.2231217
