,generate,write,read,copy,rename,delete,delete2
Ubuntu/Ubuntu,0.15625,0.0,0.0,0.015625,0.015625,0.0,0.0
Ubuntu/Windows,0.125,0.015625,0.0,0.015625,0.0,0.0,0.0
Ubuntu_WSL2_test/Ubuntu_WSL2_test,0.112016,0.0007040000000000102,0.0005549999999999999,0.0016740000000000088,3.500000000000725e-05,0.00025499999999997747,0.00023899999999998922
Ubuntu_WSL2_test/Windows,0.11676000000000003,0.010694000000000037,0.009811000000000014,0.028779,0.0011509999999999576,0.0006059999999999954,0.0006410000000000027
Windows/Ubuntu,0.17790470000000003,0.03586249999999991,0.04918370000000005,0.19888839999999997,0.014119500000000063,0.030342300000000044,0.04175240000000002
Windows/Ubuntu_WSL2_test,0.15355589999999975,0.043955899999999826,0.04743170000000019,0.17753479999999966,0.012031299999999856,0.02727529999999989,0.02781160000000016
Windows/Windows,0.16840239999999998,0.0048132000000000175,0.01014130000000002,0.009725800000000007,0.0032462000000000324,0.00253239999999999,0.01503690000000002
